car_id,deal_id,num_of_cars_remain,model_id
WAUFM54D1YN003137,7059,6,5699
TRUSC28N021013278,7059,9,6113
WAUPN54E59N003119,7059,2,3613
WA1WKBFP9CA103236,7059,6,4708
WAUGC5440KN040016,7059,5,4862
WAUHFBFL9DN011082,7059,8,4463
WAUHFAFLXBA083018,7059,8,3214
WA1LKDFP9AA026394,7059,5,8185
WAUBK88C0SA000218,7059,4,2166
WAUR4AFD0E0012911,7059,8,4759
WAUFEAFMXCA500125,7059,2,2645
WAUKGAFL0EA013017,7059,1,7101
WA1WGAFP8DA072803,7059,9,3000
WAUAF98E17A024459,7059,8,3562
WAUDFAFL6DN014563,7059,2,2180
WAUSFBFL5AA009175,7059,10,4339
WAUGN74F07N025367,7059,9,5371
WAUFFCFL0BN038438,7059,10,1995
WUAVNAFG2FN000310,7059,6,5096
WAUKG98E86A547154,7059,4,2930
WAUGD28D4XA262224,7059,2,9750
WAUGFBFC3DN107849,7059,9,8153
WUAEF48H070015388,7059,8,1667
3N1CB51S26L606273,8097,10,2390
JN6SD11S2NX420356,8097,2,7348
1N4BA41E74C829102,8097,3,2542
1N6ED26Y3YC343363,8097,2,2540
JN8DR07X11W766428,8097,10,5282
3N1EB31S06K327083,8097,8,8251
JN4BU31D0VC191060,8097,6,3689
1N4BA41E44CC81014,8097,2,2490
JN8HD17S1PW042533,8097,5,9533
1N4AL21E18NS14372,8097,8,2699
1N4GB32A9NC702751,8097,2,4650
JN1HJ01C0PT020916,8097,3,9906
1N4BL11E45C131623,8097,5,1919
JN1AR5EG2EM110029,8097,9,2612
5N1AT2MT0EL823797,8097,10,1441
1N6AD07U96CU58108,8097,4,4581
1N4DL01D8XC269288,8097,6,2962
WBAYF8C54ED653497,7958,5,9071
WBALX5C50D0019163,7958,8,5708
WBADU51087LZ31238,7958,2,2782
WBSAK0311LA280134,7958,4,8726
WB1049702R0400070,7958,5,4129
5UXWX5C54BLK59228,7958,1,3825
4USCH7323TLE00713,7958,9,1561
WB1022900BZU03139,7958,6,5700
5UXFE43588L200000,7958,6,2650
5UXFE8C50AL879225,7958,2,3570
WBAKC5X45CC396724,7958,7,5712
WB10581A25ZL91434,7958,10,4406
WB10434A43ZA68424,7958,3,9313
WBADN63433GS56677,7958,4,5902
5UXFB33553L848177,7958,5,9802
WBAUC73569VE86760,7958,3,1753
WBANE53536CK88757,7958,11,1812
WDBTK77G88T087044,9946,2,6727
WDBCA37B0EA087451,9946,2,8398
WDBWK73F98F176842,9946,3,2877
WDBEA30D7KA867169,9946,4,9524
WDDNG9FB3DA504434,9946,5,3353
WDBFA63E7SF113797,9946,3,1236
WDBRF52J77F848665,9946,7,1401
WDDGF8HB0AF377742,9946,1,6307
WDBEA51D5NB651264,9946,2,5362
WDBFA67F0WF164230,9946,8,7461
WD3PE8CC4B5607118,9946,6,9224
WDBNF70J01A160072,9946,9,9149
WDDHF8JB8DA706901,9946,4,3388
WDDFH34XX8J381945,9946,6,3954
WDBCA37D2FA187358,9946,5,2677
WDBFA66E0LF009827,9946,7,9836
WDBCA33A3DB037925,9946,2,9393
WDBKK65F04F301341,9946,1,5420
WDBUH77X17B037951,9946,5,4611
WDDHF8BB5EA955401,9946,8,1566
4JGBF25EX9A524783,9946,10,5435
WD3PE7CC1A5475766,9946,2,2488
WDBGA32G9XA408006,9946,7,7648
JTHDL5EF2G5007689,1257,0,5103
JTHDL5EF2G5007690,1257,1,5104
JTHDL5EF2G5007691,1257,3,5105
JTHDL5EF2G5007692,1257,5,5106
JTHDL5EF2G5007693,1257,7,5107
JTHDL5EF2G5007694,1257,8,5108
JTHDL5EF2G5007695,1257,0,5109
JTHDL5EF2G5007696,1257,0,5110
JTHDL5EF2G5007697,1257,0,5111
JTHDL5EF2G5007698,1257,4,5112
JTHDL5EF2G5007699,1257,3,5113
JTHBK262X75404375,1257,1,8721
JTHBK1GG5F2209886,1257,2,9010
JTHBE1D27G5026344,1257,3,3947
JTHBE1D21F141DF75,1257,5,8384
JTJBJRBZ3G2039375,1257,7,2753
JTHBW1GG2G2120234,1257,0,8273
JTHBW1GG1F118BJ01,1257,3,4428
JTHBE1BL0F118BJ76,1257,4,7872
JT8BH22F4T0056069,1257,6,7460
JTDKB22U753079655,3259,7,6799
JTDKB22U753079656,3259,0,3662
JTDKB22U753079657,3259,0,5844
JTDKB22U753079658,3259,7,3684
JTDKB22U753079659,3259,4,5573
JTDKB22U753079660,3259,3,8146
JTDKB22U753079661,3259,2,4791
JTDKB22U753079662,3259,4,5810
JTDKB22U753079663,3259,1,8938
JTDKB22U753079664,3259,0,8642
JTDKB22U753079665,3259,8,2890
JTDBU4EE8BJD99172,3259,10,3846
JT4RN82P5P5070933,3259,6,6939
1NXBR32E14Z196890,3259,5,9590
JT2GK14E0R0037916,3259,4,9942
JT3HN86R129066181,3259,3,7979
JTEJU9FJ6EK067027,3259,5,4925
JTEHF21A220218606,3259,7,8270
5TFSY5F16DX144647,3259,5,3168
JT4VN93D3K0000894,3259,3,6317
